q,I
2.039995199999999811e-03,8.481738812549367151e-03
2.884988900000000096e-03,8.481293203964864955e-03
4.079990399999999622e-03,8.480402071007180770e-03
4.561568000000000220e-03,8.479956546628810224e-03
5.769977800000000191e-03,8.478620141874551250e-03
6.119985599999999866e-03,8.478174729747085456e-03
6.451031299999999968e-03,8.477729345671621355e-03
7.355307299999999833e-03,8.476393361765147821e-03
8.159980799999999243e-03,8.475057630307798393e-03
8.411115699999999196e-03,8.474612442571104187e-03
8.654966599999999385e-03,8.474167282865643566e-03
9.123135799999999504e-03,8.473277047595668271e-03
1.019997589999999989e-02,8.471051949972772596e-03
1.040197520000000000e-02,8.470607014543555385e-03
1.098571020000000016e-02,8.469272376326827251e-03
1.153995529999999985e-02,8.467937990239919610e-03
1.189511369999999950e-02,8.467048539594271631e-03
1.223997100000000053e-02,8.466159201008991581e-03
1.240880609999999926e-02,8.465714573692330672e-03
1.290206219999999980e-02,8.464380859733668452e-03
1.306234239999999949e-02,8.463936344363123115e-03
1.368470339999999959e-02,8.462158562985301613e-03
1.427996599999999984e-02,8.460381229393139357e-03
1.442494390000000071e-02,8.459936965878663007e-03
1.471061409999999993e-02,8.459048522796048034e-03
1.485138870000000076e-02,8.458604343312787696e-03
1.553614000000000037e-02,8.456383864965879779e-03
1.593287120000000043e-02,8.455051913403953054e-03
1.631996089999999955e-02,8.453720213658673724e-03
1.644696630000000090e-02,8.453276369500974108e-03
1.682223050000000025e-02,8.451945004949178858e-03
1.730993239999999850e-02,8.450170243087348765e-03
1.742972569999999902e-02,8.449726622633227380e-03
1.754870130000000042e-02,8.449283029849680160e-03
1.824627070000000087e-02,8.446622060270489105e-03
1.835995569999999966e-02,8.446178663233020953e-03
1.847294110000000100e-02,8.445735293899548149e-03
1.880782519999999944e-02,8.444405353209534851e-03
1.924527490000000132e-02,8.442632489722512804e-03
1.935309240000000069e-02,8.442189343781608332e-03
2.009162109999999835e-02,8.439088101831790367e-03
2.019492059999999922e-02,8.438645178606664007e-03
2.039995039999999843e-02,8.437759416358974612e-03
2.050169640000000168e-02,8.437316577232486028e-03
2.080394890000000080e-02,8.435988226206904070e-03
2.100303430000000082e-02,8.435102797916160106e-03
2.129817330000000064e-02,8.433774865093921630e-03
2.168544450000000137e-02,8.432004677252333963e-03
2.197141860000000058e-02,8.430677329364732672e-03
2.206591980000000008e-02,8.430234935411019467e-03
2.243994499999999934e-02,8.428465639485425986e-03
2.253248119999999924e-02,8.428023384926040459e-03
2.280783739999999934e-02,8.426696788021324422e-03
2.307990860000000075e-02,8.425370441286590337e-03
2.325952140000000015e-02,8.424486349830099044e-03
2.379022509999999951e-02,8.421834741811620381e-03
