q,I
2.039995199999999811e-03,4.649346835593272040e-03
2.884988900000000096e-03,4.649239958777310472e-03
4.079990399999999622e-03,4.649026213534336593e-03
4.561568000000000220e-03,4.648919345107145606e-03
5.769977800000000191e-03,4.648598756601811897e-03
6.119985599999999866e-03,4.648491899358571378e-03
6.451031299999999968e-03,4.648385044911028559e-03
7.355307299999999833e-03,4.648064498342204670e-03
8.159980799999999243e-03,4.647743976932570617e-03
8.411115699999999196e-03,4.647637142053120604e-03
8.654966599999999385e-03,4.647530309968642311e-03
9.123135799999999504e-03,4.647316654185153391e-03
1.019997589999999989e-02,4.646782563635117221e-03
1.040197520000000000e-02,4.646675753909069138e-03
1.098571020000000016e-02,4.646355341496072322e-03
1.153995529999999985e-02,4.646034954230121410e-03
1.189511369999999950e-02,4.645821376689530761e-03
1.223997100000000053e-02,4.645607810324455487e-03
1.240880609999999926e-02,4.645501031331876127e-03
1.290206219999999980e-02,4.645180711114780397e-03
1.306234239999999949e-02,4.645073943295034528e-03
1.368470339999999959e-02,4.644646899950177418e-03
1.427996599999999984e-02,4.644219901291551586e-03
1.442494390000000071e-02,4.644113158607427599e-03
1.471061409999999993e-02,4.643899681616862722e-03
1.485138870000000076e-02,4.643792947311649148e-03
1.553614000000000037e-02,4.643259317660507549e-03
1.593287120000000043e-02,4.642939173370977737e-03
1.631996089999999955e-02,4.642619054209361565e-03
1.644696630000000090e-02,4.642512353402701748e-03
1.682223050000000025e-02,4.642192267734014492e-03
1.730993239999999850e-02,4.641765525911954564e-03
1.742972569999999902e-02,4.641658847436157601e-03
1.754870130000000042e-02,4.641552171746879916e-03
1.824627070000000087e-02,4.640912176220733827e-03
1.835995569999999966e-02,4.640805520068113157e-03
1.847294110000000100e-02,4.640698866702137534e-03
1.880782519999999944e-02,4.640378923340775924e-03
1.924527490000000132e-02,4.639952371248391542e-03
1.935309240000000069e-02,4.639845740201661330e-03
2.009162109999999835e-02,4.639099400947527610e-03
2.019492059999999922e-02,4.638992792206180632e-03
2.039995039999999843e-02,4.638779583098118393e-03
2.050169640000000168e-02,4.638672982729662338e-03
2.080394890000000080e-02,4.638353198340089585e-03
